Month,O18,DEU,precip
Dec-2003,-32.62,-253.8,3.5
Jan-2004,NA,NA,NA
Feb-2004,NA,NA,NA
Mar-2004,-24.40,-187.2,27.0
Apr-2004,-24.30,-186.0,11.8
May-2004,-16.09,-129.1,27.0
Jun-2004,-13.96,-102.4,79.7
Jul-2004,-12.79,-103.2,75.0
Aug-2004,-18.36,-140.5,73.5
Sep-2004,-13.69,-110.6,21.0
Oct-2004,-18.94,-141.0,28.9
Nov-2004,-16.66,-133.1,0.1
Dec-2004,-25.99,-199.0,23.4
Jan-2005,-25.70,-200.6,18.0
Feb-2005,-19.23,-159.8,23.0
Mar-2005,-20.51,-169.1,29.5
Apr-2005,-16.42,-128.4,16.0
May-2005,-9.87,-70.9,27.5
Jun-2005,-10.06,-71.8,160.5
Jul-2005,NA,-93.2,53.5
Aug-2005,-14.60,-112.3,53.5
Sep-2005,-9.76,-81.4,74.0
Oct-2005,-18.02,-138.6,18.0
Nov-2005,-25.77,-201.2,29.0
Dec-2005,-19.21,-174.9,20.5
Jan-2006,NA,NA,NA
Feb-2006,-27.64,-212.2,11.5
Mar-2006,-20.67,-162.2,38.0
Apr-2006,NA,NA,NA
May-2006,-15.50,-136.0,39.8
Jun-2006,-11.87,-90.3,108.0
Jul-2006,-12.39,-103.2,32.0
Aug-2006,-10.30,-91.5,30.0
Sep-2006,-13.78,-102.9,118.0
Oct-2006,-18.50,-145.3,32.5
Nov-2006,-24.61,-187.9,18.0
Dec-2006,-18.51,-141.4,3.5
Jan-2007,-20.81,-161.1,47.5
Feb-2007,NA,NA,NA
Mar-2007,NA,NA,NA
Apr-2007,NA,NA,NA
May-2007,-11.56,-84.8,46.0
Jun-2007,NA,NA,NA
Jul-2007,-10.25,-79.1,22.0
Aug-2007,-10.43,-79.4,17.5
Sep-2007,-17.68,-129.8,24.0
Oct-2007,-14.31,-99.0,14.0
Nov-2007,NA,NA,NA
Dec-2007,NA,NA,NA
Jan-2008,-22.33,-175.8,NA
Feb-2008,NA,NA,NA
Mar-2008,NA,NA,NA
Apr-2008,-12.46,-101.6,NA
May-2008,-4.07,-63.1,NA
Jun-2008,-14.26,-116.1,NA
Jul-2008,-10.37,-87.4,NA
Aug-2008,-14.88,-116.9,NA
Sep-2008,-14.01,-110.6,NA
Oct-2008,-10.66,-84.3,NA
Nov-2008,NA,NA,NA
Dec-2008,-26.72,-210.7,NA
Jan-2009,NA,NA,NA
Feb-2009,NA,NA,NA
Mar-2009,NA,NA,NA
Apr-2009,-21.84,-183.5,NA
May-2009,NA,NA,NA
Jun-2009,NA,NA,NA
Jul-2009,-13.06,-108.1,NA
Aug-2009,NA,NA,NA
Sep-2009,NA,NA,NA
Oct-2009,NA,NA,NA
Nov-2009,NA,NA,NA
Dec-2009,NA,NA,NA
Jan-2010,NA,NA,NA
Feb-2010,NA,NA,NA
Mar-2010,NA,NA,NA
Apr-2010,-11.70,-89.2,NA
May-2010,-13.87,-104.6,NA
Jun-2010,-12.76,-95.3,NA
Jul-2010,NA,NA,NA
Aug-2010,NA,NA,NA
Sep-2010,NA,NA,NA
Oct-2010,-12.16,-92.6,NA
Nov-2010,NA,NA,NA
Dec-2010,NA,NA,NA
Jan-2011,NA,NA,NA
Feb-2011,NA,NA,NA
Mar-2011,NA,NA,NA
Apr-2011,NA,NA,NA
May-2011,NA,NA,NA
Jun-2011,NA,NA,NA
Jul-2011,NA,NA,NA
Aug-2011,NA,NA,NA
Sep-2011,NA,NA,NA
Oct-2011,NA,NA,NA
Nov-2011,NA,NA,NA
Dec-2011,NA,NA,NA
Jan-2012,NA,NA,NA
Feb-2012,NA,NA,NA
Mar-2012,NA,NA,NA
Apr-2012,NA,NA,NA
May-2012,NA,NA,NA
Jun-2012,NA,NA,NA
Jul-2012,NA,NA,NA
Aug-2012,NA,NA,NA
Sep-2012,NA,NA,NA
Oct-2012,NA,NA,NA
Nov-2012,-19.3,-144.21,NA
Dec-2012,-26.9,-203.68,NA
Jan-2013,-21.8,-166.34,NA
Feb-2013,-22.3,-179.18,NA
Mar-2013,-23.4,-185.06,NA
Apr-2013,NA,NA,NA
May-2013,-11.6,-91.79,NA
Jun-2013,-11.0,-88.23,NA
Jul-2013,-13.5,-107.37,NA
Aug-2013,-13.4,-105.74,NA
Sep-2013,-16.8,-125.55,NA
Oct-2013,-16.8,-138.39,NA
Nov-2013,-20.3,-159.68,NA
Dec-2013,-27.8,-216.73,NA
Jan-2014,NA,NA,NA
Feb-2014,NA,NA,NA
Mar-2014,NA,NA,NA
Apr-2014,NA,NA,NA
May-2014,NA,NA,NA
